Abduction (115)
Accident Investigation (116)
Active Shooter (1126)
Aerial Search / Crime (117)
Aggravated Assault (119)
Aircraft Incident (Crime / Threat) (125)
Aircraft Laser Incident (1136)
Airport Incident (Crime Or Threat) (128)
Amber Alert (131)
Animal Attack (135)
Animal Cruelty (136)
Animal Incident (No Threat To Public) (137)
Animal Incident (Threat To Public) (138)
Armed EDP (141)
Armed Robbery (142)
Armored Car Robbery (889)
Arson Arrest (1113)
Arson Fire (143)
Assist Officer (144)
Attempted Abduction (145)
Attempted Arson (939)
Attempted Luring (1110)
Attempted Robbery (1111)
Ballistics Search (147)
Bank Robbery (148)
Bank Robbery / Shooting (931)
Barricaded EDP (150)
Barricaded Perp (149)
Barricaded Subject (918)
Bear Sighting (151)
Bias Incident (152)
Biological Attack (155)
Body In The Water (162)
Body Recovery (163)
Bomb Found (908)
Bomb Threat (164)
Breaking News (897)
Burglary (1121)
Burglary In Progress (170)
Carjacking (183)
Child Abandonment (188)
Child Abuse (190)
Child Assault (191)
Child Endangerment (196)
Child Homicide (199)
Child Left Alone (202)
Child Neglect (204)
Child Sexual Assault (208)
Child Shot (186)
Child Stabbed (210)
Church Burglary (213)
Church Vandalism (215)
Commercial Robbery (219)
Crime Scene (226)
Criminal Mischief (227)
Cutting (228)
Death Announcement (231)
Death Investigation (232)
Demonstration (234)
Device Found (236)
Disturbance (1075)
Doa Baby (240)
Doa Floater (241)
Doa Recovery (242)
Dog Attack (243)
Drive By Shooting (244)
Drone Incident (1134)
Drug Arrest (246)
Earthquake (247)
EDP At A School (248)
EMS Assist (256)
Escaped EDP (261)
Escaped Prisoner (262)
ESU Request (263)
Evidence Search (265)
Explosion (Major) (267)
Explosive Device (269)
Explosive Threat (270)
Fatal Accident (279)
Fatal Aircraft Crash (280)
Fatal Aircraft Emergency (281)
Fatal Apparatus Accident (282)
Fatal Assault (283)
Fatal Bicyclist Struck (284)
Fatal Boat Accident (285)
Fatal Boat Fire (286)
Fatal Car Fire (287)
xxxxAbandoned Baby (113)
